123;CAMPO DE TEJO EL PORVENIR;CANCHAS DE TEJO;93;ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;C 12 CRA 7;8603721
124;CAMPO DE TEJO EL RINCON;CANCHAS DE TEJO;93;ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;MARQUEZ;8606449
125;CAMPO DE TEJO EL TRIUNFO;CANCHAS DE TEJO;93;ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;EL RODEO;
126;CAMPO DE TEJO LA ISLA;CANCHAS DE TEJO;93;ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;K 3 No 3-74;8600424
127;CAMPO DE TEJO LOS ANGELES;CANCHAS DE TEJO;93;ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;MUNDO NUEVO;3133898554
128;CAMPO DE TEJO VILLAMAR;CANCHAS DE TEJO;93;ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;LA PORTADA;8603103
129;CANELA BAR;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K 3 No 1-87;8600616
130;CANTARINA HTIZ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 4 No. 10-49;8752278
131;CAPALA S.A.S;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 82 No. 7-80;2570266
132;CARNES DUVAN;CARNICERIA;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO LOCAL 5 ;8602271
133;CARNES EL NORMANDO;CARNICERIA;47;COMERCIO AL POR MENOR;KM 7 VIA LA CALERA EL LIBANO;8741076
134;CARNES FINAS COVECAR;CARNICERIA;47;COMERCIO AL POR MENOR;AV 2 No. 7-90;8600082
135;CARNES LA ESPECIAL;CARNICERIA;47;COMERCIO AL POR MENOR;VEREDA SANTA HELENA FINCA ALTO DE LA CRUZ;3143809752
136;CARNES LA GRANJA;CARNICERIA;47;COMERCIO AL POR MENOR;AV 2 No 5-55;8600813
137;CARNES LA NORMANDA;CARNICERIA;47;COMERCIO AL POR MENOR;EL RODEO;8085904
138;CARNES R.G;CARNICERIA;47;COMERCIO AL POR MENOR;K 4 No 4-54;3115824490
139;CARNES SIMENTALS;CARNICERIA;47;COMERCIO AL POR MENOR;K 3 No 7-02;8601027
140;CARNES Y COPAS;CARNICERIA;47;COMERCIO AL POR MENOR;K 3 No 7-48;8600286
141;CASA DE DISFRACES DIOSME;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 3 No. 6 -38;8600326
142;CASA DE ONCES LA NENITA;CAFETERÍA;47;COMERCIO AL POR MENOR;K 4 No 7-52;8604050
143;CASA DEL CAMPESINO;CONCESIONARIO;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;CALLE 8 No.6-53;8741073
144;CASA GUERRERO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 5 No. 3 -57;8757317
145;CASAMOTO S.A.A.;CONCESIONARIO;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;CARRERA 7D No. 127c-71 apto 603 Bogotá;3165229751
146;CEFETERIA VENTA DE LICOR;VENTA DE CAFÉ;47;COMERCIO AL POR MENOR;AK 2 No. 8-15 LOCAL 17;8603725
147;CEMENT ING LTDA;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CLL 8 No.1-08;8751581
148;CEMEX  TRANSPORTES DE COLOMBIA S.A.;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CLL 8A No. 1-08;8751581
149;CEMEX COLOMBIA S.A;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CL 99 No. 9A- 54 PISO 7 BOGOTA D.C;6039000
150;CENTER PC S.A.S;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CL 99 No 9A- 54 PISO 7 BOGOTA D.C;6039000
151;CENTER SICLES MARKS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No. 7 53 INT 1;2185852
152;CENTRAL DE CARNES SAN FELIPE;CARNICERIA;47;COMERCIO AL POR MENOR;C 8 No 8-06;8600816/3124106709
153;CENTRIGAL - EL TRIGAL;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;AV 2 No. 7 - 53;3208019023
